,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
196,20 ago 2024,"2503,50","2527,30","2500,70","2511,30","2511,30",187
197,19 ago 2024,"2508,50","2508,50","2487,20","2501,80","2501,80",88
198,16 ago 2024,"2453,50","2508,00","2451,40","2498,60","2498,60",197
199,15 ago 2024,"2451,80","2467,70","2431,20","2453,10","2453,10",285
200,14 ago 2024,"2468,00","2472,10","2439,40","2439,40","2439,40",274
201,13 ago 2024,"2461,00","2470,00","2456,50","2466,70","2466,70",510
202,12 ago 2024,"2432,70","2469,80","2432,00","2462,40","2462,40",566
203,9 ago 2024,"2422,30","2432,10","2418,50","2432,10","2432,10",611
204,8 ago 2024,"2384,30","2422,80","2384,30","2422,20","2422,20",201
205,7 ago 2024,"2392,20","2401,00","2384,50","2390,50","2390,50",130
206,6 ago 2024,"2414,50","2421,80","2380,00","2389,10","2389,10",163
207,5 ago 2024,"2442,00","2449,80","2367,40","2401,70","2401,70",334
208,2 ago 2024,"2444,00","2477,00","2416,00","2425,70","2425,70",550
209,1 ago 2024,"2446,70","2455,10","2430,40","2435,00","2435,00",690
210,31 jul 2024,"2407,10","2447,60","2402,80","2426,50","2426,50",1313
211,30 jul 2024,"2380,90","2409,30","2373,80","2405,00","2405,00",25.944
212,29 jul 2024,"2377,30","2377,30","2377,30","2377,30","2377,30",126.409
213,26 jul 2024,"2368,70","2386,90","2368,70","2380,00","2380,00",95
214,25 jul 2024,"2365,50","2365,50","2351,90","2351,90","2351,90",31
215,24 jul 2024,"2421,00","2421,00","2411,60","2413,30","2413,30",6
216,23 jul 2024,"2395,80","2404,60","2388,70","2404,60","2404,60",41
217,22 jul 2024,"2402,10","2402,10","2392,00","2392,00","2392,00",18
218,19 jul 2024,"2418,80","2419,20","2395,50","2395,50","2395,50",15
219,18 jul 2024,"2466,00","2466,00","2451,80","2451,80","2451,80",2
220,17 jul 2024,"2472,90","2473,10","2454,80","2454,80","2454,80",10
221,16 jul 2024,"2427,40","2462,40","2427,40","2462,40","2462,40",93
222,15 jul 2024,"2430,00","2436,00","2422,90","2422,90","2422,90",540
223,12 jul 2024,"2399,80","2414,00","2391,30","2414,00","2414,00",355
224,11 jul 2024,"2378,70","2416,70","2378,70","2415,00","2415,00",72
225,10 jul 2024,"2366,30","2377,00","2365,80","2372,20","2372,20",19
226,9 jul 2024,"2363,10","2363,70","2360,10","2360,10","2360,10",9
227,8 jul 2024,"2381,70","2383,80","2352,80","2355,20","2355,20",64
228,5 jul 2024,"2354,90","2388,50","2354,90","2388,50","2388,50",72
229,3 jul 2024,"2330,90","2361,60","2330,90","2359,80","2359,80",59
230,2 jul 2024,"2330,70","2334,60","2323,00","2323,00","2323,00",30
231,1 jul 2024,"2323,80","2329,70","2321,70","2327,60","2327,60",237
232,28 jun 2024,"2325,40","2338,30","2319,00","2327,70","2327,70",92
233,27 jun 2024,"2296,80","2329,00","2295,00","2324,50","2324,50",1532
234,26 jun 2024,"2307,90","2314,40","2298,00","2299,20","2299,20",986
235,25 jun 2024,"2324,40","2333,00","2316,60","2316,60","2316,60",105
236,24 jun 2024,"2323,30","2332,90","2322,70","2330,00","2330,00",99
237,21 jun 2024,"2331,20","2331,20","2316,40","2316,40","2316,40",76
238,20 jun 2024,"2328,90","2354,00","2328,30","2353,80","2353,80",183
239,18 jun 2024,"2311,80","2330,40","2311,80","2330,40","2330,40",43
240,17 jun 2024,"2320,20","2320,20","2309,60","2312,40","2312,40",110
241,14 jun 2024,"2307,00","2331,40","2305,80","2331,40","2331,40",948
242,13 jun 2024,"2309,40","2317,70","2296,20","2300,20","2300,20",298
243,12 jun 2024,"2314,90","2338,70","2310,30","2336,00","2336,00",132
244,11 jun 2024,"2300,00","2314,10","2300,00","2307,50","2307,50",871
245,10 jun 2024,"2290,60","2309,30","2290,50","2307,70","2307,70",69
246,7 jun 2024,"2379,90","2385,10","2285,40","2305,20","2305,20",269
247,6 jun 2024,"2355,00","2375,80","2355,00","2370,30","2370,30",179
248,5 jun 2024,"2326,40","2354,30","2326,20","2354,10","2354,10",295
249,4 jun 2024,"2347,50","2347,70","2313,90","2325,50","2325,50",890
250,3 jun 2024,"2322,60","2347,50","2312,00","2346,60","2346,60",781
